query_id,semantic_similarity,recency_days,engagement_score,term_overlap,time_of_day_match,relevance
27,0.4461,12.03,56.52,0.3349,0.6677,0.5388
174,0.6188,45.68,49.44,0.0419,0.6573,0.4899
26,0.7317,16.12,37.05,0.1664,0.6853,0.5573
196,0.7263,11.9,38.78,0.4306,0.4495,0.6909
149,0.6845,33.46,46.62,0.1954,0.6846,0.5488
3,0.7977,15.2,7.13,0.4494,0.6673,0.6764
87,0.4568,22.92,17.23,0.4,0.5374,0.5226
10,0.5721,21.44,6.57,0.3924,0.7525,0.5249
9,0.4466,166.85,22.55,0.3175,0.3278,0.3301
40,0.878,6.52,1.83,0.2131,0.682,0.6454
170,0.7098,78.33,31.83,0.2641,0.2471,0.5048
191,0.4722,5.63,5.38,0.2043,0.2187,0.4101
57,0.845,29.33,4.33,0.2714,0.476,0.6778
74,0.4127,19.68,10.88,0.2542,0.9413,0.502
192,0.3282,62.67,21.19,0.4279,0.5465,0.3795
174,1.0,32.62,50.32,0.1864,0.2326,0.668
59,0.7967,8.58,5.68,0.5287,0.6995,0.6351
23,0.6965,10.2,5.38,0.1277,0.5419,0.4942
29,0.5523,11.11,16.73,0.1795,0.3858,0.4334
16,0.8088,22.35,37.31,0.2081,0.8183,0.6485
70,0.4724,24.88,6.46,0.2593,0.9034,0.3913
83,0.5888,9.89,46.07,0.3118,0.1147,0.5094
179,0.6732,5.99,12.94,0.218,0.3778,0.5058
85,0.7879,22.11,46.83,0.1413,0.6911,0.6761
127,0.9275,10.73,18.31,0.3398,0.2588,0.7898
10,0.7323,18.46,30.94,0.014,0.4164,0.5852
194,0.7526,91.5,2.69,0.1909,0.8744,0.4917
162,0.5954,10.09,36.31,0.2572,0.2118,0.5841
106,0.6393,43.33,16.29,0.2126,0.7924,0.5476
62,0.4594,31.74,9.37,0.0593,0.1685,0.3844
114,0.31,4.68,42.15,0.1535,0.5643,0.4384
61,0.8514,22.57,28.99,0.263,0.4111,0.7155
195,0.3585,51.81,3.12,0.2743,0.452,0.3669
123,0.9924,12.08,4.86,0.4131,0.8132,0.6468
119,0.7455,60.17,58.84,0.343,0.1091,0.5964
7,0.5753,3.93,14.05,0.159,0.5464,0.469
43,0.7148,9.58,6.01,0.1893,0.7383,0.5533
98,0.3759,58.9,28.23,0.4922,0.5064,0.4348
122,0.4264,14.99,2.24,0.1792,0.8489,0.4389
193,0.9395,64.92,28.13,0.1762,0.8979,0.6085
110,0.6135,23.49,14.34,0.2576,0.3895,0.4791
50,0.7922,66.83,8.32,0.2146,0.7322,0.5534
152,0.6008,8.17,2.81,0.1235,0.0639,0.4228
35,0.726,77.32,22.57,0.2652,0.6816,0.5481
157,0.8698,8.55,19.59,0.2605,0.8139,0.6654
179,0.3992,57.03,16.8,0.4007,0.4405,0.4385
99,0.6405,4.73,4.57,0.1037,0.8387,0.5003
8,0.4087,0.42,36.36,0.0763,0.3675,0.4905
5,0.7319,95.16,6.89,0.3613,0.0636,0.5496
153,0.3795,2.26,67.5,0.3237,0.4427,0.4513
52,0.4036,96.55,8.2,0.0758,0.6858,0.3592
197,0.6678,43.79,8.87,0.3243,0.6119,0.512
15,0.4398,1.89,38.2,0.3234,0.4061,0.5018
91,0.9072,40.72,33.65,0.3547,0.4977,0.702
28,0.8113,5.32,19.09,0.2404,0.3542,0.6923
43,0.3703,14.43,10.86,0.3516,0.3519,0.4519
111,0.542,106.02,12.06,0.3003,0.3212,0.4291
70,0.5727,6.41,20.47,0.3414,0.2982,0.5351
161,0.854,29.15,8.6,0.3062,0.7695,0.5983
196,0.5018,38.32,18.59,0.1064,0.8136,0.4118
162,0.6231,38.56,27.88,0.0508,0.3009,0.3752
46,0.5686,27.61,1.86,0.3113,0.6136,0.4337
128,0.4345,8.31,51.65,0.536,0.3978,0.4722
168,0.269,43.7,29.47,0.492,0.1323,0.3704
114,0.5797,32.64,59.0,0.2217,0.558,0.5845
75,0.9003,23.58,54.98,0.3242,0.4068,0.6905
189,0.8609,32.29,43.4,0.2165,0.7782,0.6274
30,0.8089,9.59,32.45,0.1214,0.4775,0.6348
99,0.7173,73.09,24.26,0.5027,0.367,0.5984
0,0.4443,84.63,29.64,0.3244,0.6645,0.3565
63,0.8699,0.2,44.41,0.3467,0.382,0.7146
161,0.3998,73.19,30.02,0.4626,0.3678,0.4452
165,0.3315,0.92,32.59,0.515,0.6504,0.4805
0,0.6826,85.89,4.72,0.5389,0.4833,0.647
44,0.5837,7.13,35.68,0.596,0.0364,0.5809
157,0.7023,47.21,7.92,0.0516,0.4336,0.5408
177,0.5556,45.87,20.5,0.2221,0.6531,0.4813
72,0.8071,19.57,16.95,0.3696,0.468,0.6173
19,0.6948,80.45,28.43,0.3021,0.7187,0.6018
79,0.9287,7.64,26.01,0.0811,0.2767,0.6446
142,0.3327,7.59,23.98,0.1731,0.195,0.3467
26,0.3336,13.76,8.02,0.3704,0.0892,0.3689
74,0.8739,0.41,16.64,0.3341,0.3926,0.7049
40,0.6458,33.5,39.03,0.1849,0.2548,0.5493
170,0.3573,37.21,12.45,0.3106,0.1613,0.327
39,0.3087,31.89,19.15,0.351,0.3875,0.3865
176,0.4085,47.49,9.32,0.3407,0.7691,0.4534
90,0.5347,37.87,43.26,0.2764,0.3316,0.5966
116,0.6572,4.17,26.94,0.3701,0.7423,0.6712
132,0.7039,39.18,20.02,0.0933,0.3638,0.542
71,0.8343,1.37,28.36,0.5079,0.5458,0.6893
117,0.4359,106.36,11.11,0.1917,0.5033,0.3746
166,0.9575,38.4,22.67,0.1455,0.4351,0.7321
39,0.6807,4.15,19.93,0.1317,0.3111,0.5393
99,0.6337,55.27,48.05,0.463,0.2376,0.6053
55,0.473,26.1,44.53,0.2796,0.7244,0.6311
66,0.919,9.52,17.82,0.3238,0.414,0.652
182,0.4872,79.33,26.91,0.1394,0.7243,0.4502
77,0.6988,70.57,13.5,0.2764,0.1094,0.5742
1,0.6416,36.53,31.36,0.0619,0.3675,0.4538
23,0.817,30.83,36.01,0.2638,0.7311,0.7539
125,0.4788,10.5,17.08,0.1585,0.134,0.4412
114,0.6045,12.74,7.99,0.589,0.1937,0.6059
8,0.841,6.96,43.49,0.1974,0.7054,0.7168
143,0.9262,6.32,8.3,0.2765,0.7108,0.6775
20,0.4787,21.09,60.16,0.5844,0.5486,0.5226
1,0.5588,8.96,32.65,0.3374,0.7201,0.6015
9,0.8116,24.18,7.83,0.1867,0.5226,0.5579
151,0.8932,122.69,45.44,0.3695,0.2793,0.5477
162,0.82,37.11,9.98,0.2392,0.6793,0.4979
165,0.907,6.58,14.25,0.0231,0.7057,0.6482
97,0.6785,22.13,40.28,0.1019,0.4103,0.4654
187,0.6658,2.42,7.3,0.1343,0.2136,0.5198
81,0.8331,55.84,11.3,0.1441,0.7188,0.5814
62,0.8044,13.39,18.16,0.2758,0.3715,0.6859
177,0.6775,133.24,24.82,0.397,0.4639,0.3863
36,0.8523,34.17,31.16,0.5717,0.4485,0.6646
58,0.6213,29.43,6.42,0.788,0.5432,0.5862
33,0.6813,2.02,1.07,0.2583,0.9212,0.5993
166,0.8427,1.85,27.71,0.8303,0.5757,0.7502
87,0.7865,0.23,35.5,0.2357,0.2068,0.6793
121,0.8626,141.22,17.45,0.2498,0.1793,0.4842
77,0.5259,112.95,17.77,0.3269,0.8086,0.4647
143,0.7692,0.8,30.36,0.0631,0.061,0.6184
176,0.4067,24.25,15.44,0.1317,0.294,0.3585
129,0.8746,1.52,16.27,0.0621,0.8203,0.6704
87,0.8793,44.08,12.0,0.2738,0.6764,0.6298
193,0.8947,3.24,7.03,0.4766,0.7098,0.6301
35,0.4649,15.0,24.31,0.4679,0.1094,0.4845
68,0.6036,0.51,22.36,0.1859,0.6631,0.6506
148,0.3478,38.69,54.93,0.251,0.1292,0.3793
196,0.7195,4.22,29.56,0.5659,0.9186,0.7451
101,0.8249,60.18,8.89,0.2148,0.6138,0.5791
130,0.5605,28.72,0.24,0.2074,0.2853,0.4015
81,0.9037,9.18,27.86,0.3901,0.4909,0.7431
121,0.76,24.0,4.0,0.1967,0.5997,0.6159
152,0.5771,21.81,13.09,0.1709,0.402,0.5353
150,0.755,73.23,20.55,0.1252,0.1168,0.4759
29,0.0731,5.65,44.37,0.1587,0.1199,0.355
87,0.7873,7.35,17.02,0.2667,0.7675,0.6797
117,0.6175,32.38,8.19,0.5668,0.2795,0.5479
71,0.6609,69.52,51.3,0.6129,0.6578,0.6373
55,0.5354,12.56,1.84,0.3292,0.2934,0.5049
32,0.8332,0.61,7.18,0.0401,0.5936,0.5623
20,0.7494,19.09,17.68,0.3341,0.4794,0.5793
24,0.6879,0.01,11.84,0.2464,0.4905,0.5814
124,0.4532,19.43,35.35,0.2224,0.1356,0.5202
50,0.8263,2.55,11.96,0.0372,0.6331,0.6118
105,0.4463,63.64,17.7,0.0683,0.5293,0.3196
174,0.8648,82.36,17.86,0.1189,0.4309,0.6386
93,0.4126,52.61,15.39,0.2765,0.6539,0.3721
123,0.6411,8.12,7.8,0.2799,0.2389,0.6091
13,0.731,21.13,18.98,0.4405,0.0982,0.6584
117,0.8317,7.85,7.27,0.0602,0.8473,0.7011
152,0.3328,48.65,8.47,0.1655,0.3524,0.3116
